"code" "year" "gdp"
"1" 4 1978 NA
"2" 4 1983 NA
"3" 4 1988 NA
"4" 4 1993 NA
"5" 4 1998 -0.197670207007363
"6" 4 2003 -0.115993693482072
"7" 4 2008 0.422334639233669
"8" 4 2013 0.191401584391964
"9" 4 2018 -0.300072323136198
"10" 8 1978 -0.0281719691666241
"11" 8 1983 -0.0167493633006976
"12" 8 1988 -0.0512706252681145
"13" 8 1993 -0.26578874049945
"14" 8 1998 0.259979774941223
"15" 8 2003 0.102000923293663
"16" 8 2008 NA
"17" 8 2013 NA
"18" 8 2018 NA
"19" 12 1978 0.323494166482053
"20" 12 1983 0.215427490365278
"21" 12 1988 -0.260893203157114
"22" 12 1993 -0.240074988741681
"23" 12 1998 -0.0947293398728753
"24" 12 2003 0.194756526650367
"25" 12 2008 0.195307357370299
"26" 12 2013 -0.0565307159824621
"27" 12 2018 -0.276757293113865
"28" 24 1978 NA
"29" 24 1983 NA
"30" 24 1988 -0.254916071876082
"31" 24 1993 -0.262197530166866
"32" 24 1998 -0.0730683832778071
"33" 24 2003 -0.293213462614404
"34" 24 2008 0.56854168380544
"35" 24 2013 0.514919499986064
"36" 24 2018 -0.200065735856345
"37" 28 1978 -0.163260797237822
"38" 28 1983 0.0932389637609229
"39" 28 1988 0.142954845451532
"40" 28 1993 0.0219314298672409
"41" 28 1998 -0.177577217686507
"42" 28 2003 -0.118118822988495
"43" 28 2008 0.200831598833129
"44" 28 2013 NA
"45" 28 2018 NA
"46" 32 1978 -0.211763666376198
"47" 32 1983 -0.136352686237955
"48" 32 1988 -0.0626051499215879
"49" 32 1993 0.321609769647451
"50" 32 1998 0.52113340950999
"51" 32 2003 -0.338139761212066
"52" 32 2008 0.0160409265980131
"53" 32 2013 0.0486334923362031
"54" 32 2018 -0.15855633434385
"55" 51 1978 NA
"56" 51 1983 NA
"57" 51 1988 NA
"58" 51 1993 NA
"59" 51 1998 0
"60" 51 2003 NA
"61" 51 2008 NA
"62" 51 2013 NA
"63" 51 2018 NA
"64" 36 1978 0
"65" 36 1983 NA
"66" 36 1988 NA
"67" 36 1993 NA
"68" 36 1998 NA
"69" 36 2003 NA
"70" 36 2008 NA
"71" 36 2013 NA
"72" 36 2018 NA
"73" 40 1978 NA
"74" 40 1983 NA
"75" 40 1988 NA
"76" 40 1993 NA
"77" 40 1998 NA
"78" 40 2003 NA
"79" 40 2008 NA
"80" 40 2013 NA
"81" 40 2018 NA
"82" 31 1978 NA
"83" 31 1983 NA
"84" 31 1988 NA
"85" 31 1993 NA
"86" 31 1998 -0.531209702622362
"87" 31 2003 NA
"88" 31 2008 NA
"89" 31 2013 0.598106464438988
"90" 31 2018 -0.0668967618166261
"91" 44 1978 -0.204499426028246
"92" 44 1983 0.301778968942315
"93" 44 1988 0.153903104683095
"94" 44 1993 -0.217392956436533
"95" 44 1998 0.0084845224423061
"96" 44 2003 0.0706436209835141
"97" 44 2008 -0.112917834586452
"98" 44 2013 NA
"99" 44 2018 NA
"100" 48 1978 0.0026669797127665
"101" 48 1983 -0.061197244591698
"102" 48 1988 -0.475507247971198
"103" 48 1993 -0.033421876235933
"104" 48 1998 -0.118650055471234
"105" 48 2003 0.457633272058204
"106" 48 2008 0.430559494501997
"107" 48 2013 0.118129022278809
"108" 48 2018 -0.320212344281715
"109" 50 1978 -0.277456001841394
"110" 50 1983 -0.124794507973969
"111" 50 1988 -0.0699090332733443
"112" 50 1993 -0.00618672843202642
"113" 50 1998 -0.102617662910622
"114" 50 2003 -0.163197408887007
"115" 50 2008 0.118682492978363
"116" 50 2013 0.41203470027131
"117" 50 2018 0.213444150068691
"118" 52 1978 -0.0546050476319875
"119" 52 1983 0.0546050476319875
"120" 52 1988 NA
"121" 52 1993 NA
"122" 52 1998 NA
"123" 52 2003 NA
"124" 52 2008 NA
"125" 52 2013 NA
"126" 52 2018 NA
"127" 112 1978 NA
"128" 112 1983 NA
"129" 112 1988 0
"130" 112 1993 NA
"131" 112 1998 NA
"132" 112 2003 NA
"133" 112 2008 NA
"134" 112 2013 NA
"135" 112 2018 NA
"136" 56 1978 NA
"137" 56 1983 NA
"138" 56 1988 NA
"139" 56 1993 NA
"140" 56 1998 NA
"141" 56 2003 NA
"142" 56 2008 NA
"143" 56 2013 NA
"144" 56 2018 NA
"145" 84 1978 -0.16349077591879
"146" 84 1983 -0.0519110781166132
"147" 84 1988 0.187588638112271
"148" 84 1993 0.217639488298852
"149" 84 1998 -0.0500617510901293
"150" 84 2003 0.0137260313132956
"151" 84 2008 -0.0141135488570453
"152" 84 2013 -0.0315338261072447
"153" 84 2018 -0.107843177634596
"154" 204 1978 NA
"155" 204 1983 NA
"156" 204 1988 -0.233853492893575
"157" 204 1993 -0.252724660457373
"158" 204 1998 -0.00141781249027245
"159" 204 2003 0.196879114157044
"160" 204 2008 0.0192092966691702
"161" 204 2013 0.0425257219625371
"162" 204 2018 0.229381833052469
"163" 64 1978 NA
"164" 64 1983 -0.0591578312182168
"165" 64 1988 -0.0570325987845182
"166" 64 1993 -0.0278861023701452
"167" 64 1998 0.0473359493630075
"168" 64 2003 0.0680878477424633
"169" 64 2008 0.0683918270421475
"170" 64 2013 -0.039739091774738
"171" 64 2018 NA
"172" 68 1978 -0.054705900912489
"173" 68 1983 -0.142175658374463
"174" 68 1988 -0.179589443562291
"175" 68 1993 -0.0769292158877799
"176" 68 1998 0.105796975258541
"177" 68 2003 -0.0868657382435811
"178" 68 2008 0.12080759265388
"179" 68 2013 0.242137092803046
"180" 68 2018 0.0715242962651366
"181" 70 1978 0.0812256591970117
"182" 70 1983 0.0437798100141656
"183" 70 1988 -0.125005469211177
"184" 70 1993 NA
"185" 70 1998 NA
"186" 70 2003 NA
"187" 70 2008 NA
"188" 70 2013 NA
"189" 70 2018 NA
"190" 72 1978 -0.149972355905353
"191" 72 1983 0.0719419033651528
"192" 72 1988 0.556476498220586
"193" 72 1993 0.115153222775946
"194" 72 1998 0.0225273714388335
"195" 72 2003 -0.0788007301112307
"196" 72 2008 -0.0819316974313021
"197" 72 2013 -0.227985682831887
"198" 72 2018 -0.227408529520746
"199" 76 1978 0.125753658962622
"200" 76 1983 -0.12137350831191
"201" 76 1988 -0.0125944335687271
"202" 76 1993 -0.0580624613128556
"203" 76 1998 0.274298921280838
"204" 76 2003 -0.208022177049967
"205" 76 2008 NA
"206" 76 2013 NA
"207" 76 2018 NA
"208" 100 1978 0.109768298334759
"209" 100 1983 0.0103402353335983
"210" 100 1988 -0.120108533668358
"211" 100 1993 NA
"212" 100 1998 NA
"213" 100 2003 NA
"214" 100 2008 NA
"215" 100 2013 NA
"216" 100 2018 NA
"217" 854 1978 NA
"218" 854 1983 NA
"219" 854 1988 -0.0775956176822195
"220" 854 1993 -0.110742652467355
"221" 854 1998 0.0149097853431145
"222" 854 2003 0.0781904905566674
"223" 854 2008 -0.00107499110971462
"224" 854 2013 0.0300788211448785
"225" 854 2018 0.0662341642146282
"226" 108 1978 NA
"227" 108 1983 NA
"228" 108 1988 NA
"229" 108 1993 7.19403815738831e-05
"230" 108 1998 -0.134539320303723
"231" 108 2003 -0.0562932637968498
"232" 108 2008 -0.0137874386105489
"233" 108 2013 0.101941378044497
"234" 108 2018 0.102606704285051
"235" 116 1978 NA
"236" 116 1983 NA
"237" 116 1988 -0.0820879205339677
"238" 116 1993 -0.121862551681017
"239" 116 1998 -0.175227950824596
"240" 116 2003 0.0825285904818536
"241" 116 2008 0.186487450111996
"242" 116 2013 0.0177637856551017
